58.4 deg N, 26.7 deg E Temperature Anomalies
Units: Degrees Celsius
Base Period: 1981-2010
Missing: -9999
Year,Value
188001,-2.88
188002,-1.21
188003,-3.16
188004,-2.07
188005,-1.87
188006,-0.90
188007,-0.83
188008,0.39
188009,-0.04
188010,-4.94
188011,-0.55
188012,-1.02
188101,-5.78
188102,-4.19
188103,-4.75
188104,-4.72
188105,-2.88
188106,-1.40
188107,-1.41
188108,-1.60
188109,-1.70
188110,-3.41
188111,-0.61
188112,-0.60
188201,2.76
188202,1.40
188203,1.28
188204,-1.58
188205,-0.59
188206,-1.14
188207,0.62
188208,0.76
188209,0.69
188210,-2.43
188211,-3.95
188212,-4.64
188301,-5.27
188302,-2.15
188303,-5.04
188304,-2.45
188305,-1.09
188306,1.22
188307,-0.46
188308,-1.73
188309,0.25
188310,-0.71
188311,1.63
188312,0.33
188401,-0.09
188402,0.66
188403,-2.44
188404,-3.96
188405,-3.73
188406,-0.18
188407,-0.53
188408,-2.61
188409,-0.80
188410,-0.42
188411,-2.63
188412,-0.56
188501,-2.95
188502,1.04
188503,-1.30
188504,-1.99
188505,-2.74
188506,-1.81
188507,0.62
188508,-2.45
188509,-2.09
188510,-1.16
188511,-2.30
188512,-0.73
188601,-2.16
188602,-4.08
188603,-4.53
188604,-0.67
188605,-1.07
188606,-0.04
188607,-0.91
188608,-0.54
188609,-0.87
188610,-1.45
188611,1.77
188612,1.37
188701,-0.16
188702,1.01
188703,-2.25
188704,-1.83
188705,-0.49
188706,-2.99
188707,-1.13
188708,-2.63
188709,0.54
188710,-2.43
188711,-1.22
188712,-2.04
188801,-4.29
188802,-4.92
188803,-7.07
188804,-3.29
188805,-2.50
188806,-1.73
188807,-2.14
188808,-1.34
188809,-0.33
188810,-1.12
188811,-1.63
188812,-3.15
188901,-2.87
188902,-2.76
188903,-5.38
188904,-1.76
188905,2.31
188906,0.80
188907,-1.58
188908,-1.53
188909,-2.14
188910,1.00
188911,1.45
188912,-0.86
189001,0.13
189002,-0.22
189003,0.91
189004,0.72
189005,0.90
189006,-0.41
189007,-0.79
189008,0.48
189009,0.24
189010,-1.67
189011,-1.92
189012,-3.99
189101,-3.73
189102,1.20
189103,-0.92
189104,-2.00
189105,-0.11
189106,-0.92
189107,0.21
189108,-2.10
189109,-1.14
189110,-0.15
189111,-3.41
189112,0.52
189201,-4.12
189202,-1.73
189203,-2.68
189204,-2.73
189205,-1.26
189206,-1.63
189207,-2.33
189208,-1.26
189209,-0.08
189210,-1.87
189211,-0.94
189212,-4.45
189301,-9.35
189302,-6.97
189303,-2.75
189304,-4.45
189305,-2.47
189306,-1.10
189307,-1.10
189308,-1.24
189309,-1.98
189310,0.57
189311,-1.09
189312,0.29
189401,-0.63
189402,1.80
189403,0.05
189404,0.74
189405,0.02
189406,-1.54
189407,-0.95
189408,-0.94
189409,-4.08
189410,-3.50
189411,0.06
189412,-0.34
189501,-1.54
189502,-5.90
189503,-3.01
189504,-1.89
189505,0.24
189506,0.69
189507,-0.97
189508,-1.13
189509,-0.88
189510,0.05
189511,0.33
189512,-2.84
189601,-1.81
189602,-1.05
189603,-0.37
189604,-3.23
189605,-2.06
189606,1.46
189607,0.88
189608,-0.57
189609,0.06
189610,2.53
189611,-3.20
189612,-2.06
189701,-3.38
189702,-2.41
189703,-1.65
189704,-0.55
189705,2.79
189706,-0.11
189707,0.17
189708,0.50
189709,-0.03
189710,-0.26
189711,-0.56
189712,-0.98
189801,1.77
189802,-1.04
189803,-3.36
